id,name,address,city,country,zipcode,created_at,updated_at,mainstreet,crossstreet,key,owner,image,hotelID,source
264,Hilton New York Fashion District,152 W 26th Street,New York,US,10001,,,,,,RLJ Lodging Trust (RLJ),,336187,expedia
265,The Nolitan,30 Kenmare St,New York,US,10012,,,,,,,,344720,expedia
266,Mondrian Soho,9 Crosby Street,New York,US,10013,,,,,,,,348293,expedia
267,Comfort Inn Lower East Side,136 Ludlow Street,New York,US,10002,,,,,,,,335850,expedia
268,InterContinental - New York Times Square,300 W 44th St,New York,US,10036,,,,,,,,340156,expedia
269,Andaz 5th Avenue- a Hyatt Hotel,485 5th Ave,New York,US,10017,,,,,,,,349751,expedia
270,CHURCHILL AT 235 WEST 56TH,235 West 56TH Street,New York,US,10019,,,,,,,,351668,expedia
271,THE CENTRIA,18 West 48th Street,New York,US,10036,,,,,,,,342238,expedia
272,"Eventi Hotel, a Kimpton Hotel",851 Avenue of the Americas,New York,US,10001,,,,,,,,339013,expedia
273,Chelsea Savoy Hotel,204 W 23rd Street,New York,US,10011,,,,,,,,343224,expedia
274,The James New York,27 Grand St,New York,US,10013,,,,,,,,353129,expedia
275,HOTEL MULBERRY,52 Mulberry Street,New York,US,10013,,,,,,,,352605,expedia
276,The Setai Fifth Avenue,400 Fifth Avenue,New York,US,10018,,,,,,,,352611,expedia
277,1600 BROADWAY ON THE SQUARE,1600 Broadway,New York,US,10019,,,,,,,,342250,expedia
278,Courtyard by Marriott New York Manhattan/SoHo,181 Varick St,New York,US,10014,,,,,,,,355972,expedia
279,"The Chatwal, A Luxury Collection Hotel",130 W 44th St,New York,US,10036,,,,,,,,356439,expedia
280,Aloft Harlem,2296 Frederick Douglass Boulevard,New York,US,10027,,,,,,,,358950,expedia
281,Sheraton Tribeca New York Hotel,370 Canal Street,New York,US,10013,,,,,,,,351449,expedia
282,The Pearl New York,233 West 49th Street,New York,US,10019,,,,,,,,361504,expedia
283,DoubleTree by Hilton New York City - Financial District,8 Stone St,New York,US,10004,,,,,,,,360465,expedia
284,Cassa Hotel,70 W 45th St,New York,US,10036,,,,,,,,352529,expedia
285,Fairfield Inn & Suites by Marriott New York ManhattanChelsea,116 W 28th St,New York,US,10001,,,,,,,,365654,expedia
286,Sanctuary Hotel New York,132 West 47th Street,New York,US,10036,,,,,,,,370576,expedia
287,The Jewel facing Rockefeller Center,11 West 51st Street,New York,US,10017,,,,,,,,361485,expedia
288,Holiday Inn New York City Midtown 31st Street,30-32 West 31st Street,New York,US,10001,,,,,,Chesapeake Lodging Trust (CHSP),,364443,expedia
289,YOTEL New York at Times Square,570 10th Avenue,New York,US,10036,,,,,,,,377242,expedia
290,The Towers at The New York Palace,455 Madison Avenue,New York,US,10022,,,,,,,,370651,expedia
291,Hyatt 48 Lex,517 Lexington Avenue,New York,US,10017,,,,,,,,374895,expedia
292,Hotel Americano,518 W 27th St,New York,US,10001,,,,,,,,377966,expedia
293,HOTEL VERITE,893 Broadway,New York,US,10003,,,,,,,,381077,expedia
294,Dream Downtown,355 W 16th St,New York,US,10011,,,,,,,,383834,expedia
295,TRYP By Wyndham Times Square South,345 W 35th Street,New York,US,10001,,,,,,,,390179,expedia
296,EXECUSTAY AT THE YORK,488 Seventh Avenue,New York,US,10018,,,,,,,,399735,expedia
297,Wyndham Garden Chinatown,93 Bowery,New York,US,10002,,,,,,,,407095,expedia
298,THE NOMAD HOTEL,1170 Broadway,New York,US,10001,,,,,,,,401177,expedia
299,Holiday Inn Nyc - Lower East Side,150 Delancey St,New York,US,10002,,,,,,,,410799,expedia
300,The Out NYC,510 W 42nd St,New York,US,10036,,,,,,,,402509,expedia
301,Comfort Inn,548 W 48th St,New York,US,10036,,,,,,,,413222,expedia
302,Howard Johnson Manhattan Soho,5 Allen St,New York,US,10002,,,,,,,,417043,expedia
303,Pod 39,145 East 39th Street,New York,US,10016,,,,,,,,415836,expedia
304,Carlton Arms Hotel,160 East 25th Street,New York,US,10010,,,,,,,,417755,expedia
305,Tribeca Blu Hotel,276 Canal Street,New York,US,10013,,,,,,,,409752,expedia
306,"West Tower at ONE UN New York, formerly Millennium UN Plaza",One United Nations Plaza,New York,US,10017,,,,,,,,418815,expedia
307,Hyatt Place New York Midtown South,52 West 36th Street,New York,US,10018,,,,,,Chesapeake Lodging Trust (CHSP),,414769,expedia
308,THE JADE HOTEL GREENWICH VILLA,52 West 13th Street,New York,US,10011,,,,,,,,421370,expedia
309,Holiday Inn Express NYC-Herald Square 36th St.,60 West 36th Street,New York,US,10001,,,,,,,,422002,expedia
310,Hampton Inn Manhattan/Downtown-Financial District,32 Pearl St,New York,US,10004,,,,,,,,423782,expedia
311,Refinery Hotel New York,63 W 38th St,New York,US,10018,,,,,,,,424023,expedia
312,Fairfield Inn New York Midtown Manhattan/Penn Station,325 W 33rd St,New York,US,10001,,,,,,,,424524,expedia
313,Hotel Five44,544 West 48 St,New York,US,10036,,,,,,,,418634,expedia
314,Hampton Inn Manhattan/United Nations,231 E 43rd St,New York,US,10017,,,,,,,,426344,expedia
315,Holiday Inn Express New York - Manhattan West Side,538 West 48th Street,New York,US,10036,,,,,,,,422103,expedia
316,HOLIDAY INN EXP HERALD SQUARE,60 West 36th street,New York,US,10001,,,,,,,,422438,expedia
317,HYATT UNION SQUARE NEW YORK,132 Fourth Avenue,New York,US,10003,,,,,,Hersha Hospitality (HT),,421592,expedia
318,Courtyard New York Manhattan/herald Square,71 W 35th St,New York,US,10001,,,,,,,,427937,expedia
319,SpringHill Suites New York Midtown Manhattan/Fifth Avenue,25 West 37th St,New York,US,10018,,,,,,,,428011,expedia
320,BEST WESTERN PREMIER HERALD SQ,50 W 36th Street,New York,US,10018,,,,,,,,430306,expedia
321,CLUB QUARTERS THE ANNEX AT ROC,11 A West 51st Street,New York,US,10019,,,,,,,,428520,expedia
322,Club Quarters Grand Central,128 East 45th Street,New York,US,10017,,,,,,,,430580,expedia
323,The Westin St Francis on Union Square,335 Powell Street,San Francisco,US,94102,,,,,,Strategic Hotels and Resorts (BEE),,105310,expedia
324,Sheraton Fisherman's Wharf,2500 Mason St,San Francisco,US,94133,,,,,,,,105656,expedia
325,Grand Hyatt San Francisco Union Square,345 Stockton St,San Francisco,US,94108,,,,,,,,106066,expedia
326,Hyatt Regency San Francisco,5 Embarcadero Center,San Francisco,US,94111,,,,,,,,106067,expedia
327,InterContinental Mark Hopkins,1 Nob Hill,San Francisco,US,94108,,,,,,,,106236,expedia
328,Holiday Inn Golden Gateway,1500 Van Ness Ave,San Francisco,US,94109,,,,,,,,107232,expedia
329,Holiday Inn Civic Center San Francisco,50 8th St,San Francisco,US,94103,,,,,,,,107230,expedia
330,Hilton San Francisco Downtown/Financial District,750 Kearny St,San Francisco,US,94108,,,,,,,,107229,expedia
331,Holiday Inn San Francisco-Fisherman's Wharf,1300 Columbus Ave,San Francisco,US,94133,,,,,,FelCor Lodging Trust (FCH),,107231,expedia
332,Mandarin Oriental San Francisco,222 Sansome St,San Francisco,US,94104,,,,,,,,108742,expedia
333,Courtyard San Francisco Fisherman's Wharf,580 Beach St,San Francisco,US,94133,,,,,,,,109249,expedia
334,Comfort Inn by the Bay,2775 Van Ness Ave,San Francisco,US,94109,,,,,,,,109623,expedia
335,Civic Center Inn,790 Ellis St,San Francisco,US,94109,,,,,,,,111236,expedia
336,Travelodge at the Presidio,2755 Lombard St,San Francisco,US,94123,,,,,,,,111222,expedia
337,Greenwich Inn,3201 Steiner St,San Francisco,US,94123,,,,,,,,111190,expedia
338,Beresford Hotel,635 Sutter St,San Francisco,US,94102,,,,,,,,109796,expedia
339,City Center Inn & Suites,240 7th Street,San Francisco,US,94103,,,,,,,,109830,expedia
340,Radisson Hotel Fisherman's Wharf,250 Beach St,San Francisco,US,94133,,,,,,,,111409,expedia
341,Le Meridien San Francisco,333 Battery St,San Francisco,US,94111,,,,,,Cheseapeake Lodging Trust (CHSP),,110021,expedia
342,da Vinci Villa,2550 Van Ness Ave,San Francisco,US,94109,,,,,,,,111824,expedia
343,The Powell Hotel,28 Cyril Magnin St,San Francisco,US,94102,,,,,,,,111932,expedia
344,Renaissance San Francisco Stanford Court Hotel,905 California Street,San Francisco,US,94108,,,,,,,,112183,expedia
345,Hilton San Francisco Union Square,333 O'Farrell St.,San Francisco,US,94102,,,,,,,,112932,expedia
346,Hotel Vertigo,940 Sutter Street,San Francisco,US,94109,,,,,,,,113571,expedia
347,Monarch Hotel,1015 Geary St,San Francisco,US,94109,,,,,,,,113569,expedia
348,The Westin San Francisco Market Street,50 3rd St,San Francisco,US,94103,,,,,,,,114219,expedia
349,"Sir Francis Drake, a Kimpton Hotel",450 Powell Street,San Francisco,US,94102,,,,,,,,114822,expedia
350,The Fairmont San Francisco,950 Mason Street Atop Nob Hill,San Francisco,US,94108,,,,,,,,115783,expedia
351,Clift,495 Geary St,San Francisco,US,94102,,,,,,,,115065,expedia
352,King George Hotel - Union Square,334 Mason At Geary,San Francisco,US,94102,,,,,,,,114653,expedia
353,Taj Campton Place,340 Stockton St,San Francisco,US,94108,,,,,,,,115134,expedia
354,Hotel Diva,440 Geary St,San Francisco,US,94102,,,,,,,,116555,expedia
355,Travelodge By The Bay,1450 Lombard St,San Francisco,US,94123,,,,,,,,116620,expedia
356,Queen Anne Hotel,1590 Sutter St,San Francisco,US,94109,,,,,,,,115131,expedia
357,Ramada Limited San Francisco,1940 Lombard St,San Francisco,US,94123,,,,,,,,115183,expedia
358,Hotel Abri - Union Square,127 Ellis Street,San Francisco,US,94102,,,,,,,,117069,expedia
359,Hotel Union Square,114 Powell St,San Francisco,US,94102,,,,,,,,115727,expedia
360,Kensington Park Hotel,450 Post St,San Francisco,US,94102,,,,,,,,115728,expedia
361,Best Western Hotel California,580 Geary St,San Francisco,US,94102,,,,,,,,115993,expedia
362,Handlery Union Square Hotel,351 Geary St,San Francisco,US,94102,,,,,,,,114335,expedia
363,Hotel Nikko San Francisco,222 Mason St,San Francisco,US,94102,,,,,,,,116987,expedia
364,"Hotel Triton, a Kimpton Hotel",342 Grant Ave,San Francisco,US,94108,,,,,,LaSalle Hotel Properties (LHO),,115718,expedia
365,Beresford Arms Hotel,701 Post Street,San Francisco,US,94109,,,,,,,,118176,expedia
366,"Prescott Hotel, a Kimpton Hotel",545 Post St,San Francisco,US,94102,,,,,,,,118494,expedia
367,Hotel Majestic,1500 Sutter St,San Francisco,US,94109,,,,,,,,121924,expedia
368,"Hotel Monaco San Francisco, a Kimpton Hotel",501 Geary St,San Francisco,US,94102,,,,,,LaSalle Hotel Properties (LHO),,119457,expedia
369,The Mosser,54 4th Street,San Francisco,US,94103,,,,,,,,122274,expedia
370,Hotel Boheme,444 Columbus Ave,San Francisco,US,94133,,,,,,,,120016,expedia
371,DAYS INN SAN FRANCISCO,2600 Sloat Blvd,San Francisco,US,94116,,,,,,,,122680,expedia
372,"Hotel Carlton, a Joie de Vivre Boutique Hotel",1075 Sutter St,San Francisco,US,94109,,,,,,,,120750,expedia
373,Hotel Mark Twain,345 Taylor St,San Francisco,US,94102,,,,,,,,123355,expedia
374,Inn At Union Square,440 Post St,San Francisco,US,94102,,,,,,,,123414,expedia
375,The Huntington Hotel,1075 California St,San Francisco,US,94108,,,,,,,,121756,expedia
376,Warwick San Francisco Hotel,490 Geary St,San Francisco,US,94102,,,,,,,,122491,expedia
377,Cartwright Hotel Union Square,524 Sutter Street,San Francisco,US,94102,,,,,,,,122674,expedia
378,"Harbor Court Hotel, a Kimpton Hotel",165 Steuart St,San Francisco,US,94105,,,,,,LaSalle Hotel Properties (LHO),,125381,expedia
379,Inn at the Opera,333 Fulton St,San Francisco,US,94102,,,,,,,,123452,expedia
380,Rodeway Inn Civic Center,860 Eddy St,San Francisco,US,94109,,,,,,,,123242,expedia
381,The Pickwick Hotel,85 5th St,San Francisco,US,94103,,,,,,,,123893,expedia
382,Travelodge by Fishermans Wharf,1201 Columbus Ave,San Francisco,US,94133,,,,,,,,122346,expedia
383,"Hotel Adagio, Autograph Collection",550 Geary St,San Francisco,US,94102,,,,,,Chesapeake Lodging Trust (CHSP),,124092,expedia
384,Hyatt Fisherman's Wharf,555 N Point St,San Francisco,US,94133,,,,,,Chesapeake Lodging Trust (CHSP),,124489,expedia
385,"Hotel Whitcomb, A Historic Hotel of America",1231 Market St,San Francisco,US,94103,,,,,,,,124524,expedia
386,Parc 55 Wyndham San Francisco - Union Square,55 Cyril Magnin St,San Francisco,US,94102,,,,,,,,123447,expedia
387,Rodeway Inn Downtown,101 9th St,San Francisco,US,94103,,,,,,,,127347,expedia
388,Alexis Park Hotel,825 Polk Street,San Francisco,US,94109,,,,,,,,127472,expedia
389,Hotel Kabuki - a Joie de Vivre Boutique Hotel,1625 Post St,San Francisco,US,94115,,,,,,,,129640,expedia
390,The Andrews Hotel,624 Post St,San Francisco,US,94109,,,,,,,,129842,expedia
391,JW Marriott San Francisco Union Square,500 Post St,San Francisco,US,94102,,,,,,,,127103,expedia
392,Villa Florence,225 Powell St,San Francisco,US,94102,,,,,,LaSalle Hotel Properties (LHO),,129366,expedia
393,Executive Hotel Vintage Court,650 Bush Street,San Francisco,US,94108,,,,,,,,129367,expedia
394,Days Inn San Francisco Lombard,2358 Lombard St,San Francisco,US,94123,,,,,,,,129533,expedia
395,Good Hotel,112 7th Street,San Francisco,US,94103,,,,,,,,128436,expedia
396,Vagabond Inn San Francisco,385 9th St,San Francisco,US,94103,,,,,,,,128740,expedia
397,Days Inn San Francisco Downtown/Civic Center Area,465 Grove Street,San Francisco,US,94102,,,,,,,,128747,expedia
398,"Galleria Park Hotel, a Joie de Vivre Boutique Hotel",191 Sutter St,San Francisco,US,94104,,,,,,,,129368,expedia
399,STANYAN PARK,750 STANYAN STREET,San Francisco,US,94117,,,,,,,,128961,expedia
400,Union Square Plaza Hotel,432 Geary St,San Francisco,US,94102,,,,,,,,129783,expedia
401,Renoir Hotel,45 McAllister St,San Francisco,US,94102,,,,,,,,133199,expedia
402,Mystic Hotel,417 Stockton St,San Francisco,US,94108,,,,,,,,134326,expedia
403,Mission Inn,5630 Mission St,San Francisco,US,94112,,,,,,,,134529,expedia
404,"La Luna Inn, a C-Two Hotel",2599 Lombard St,San Francisco,US,94123,,,,,,,,134891,expedia
405,The Hotel Drisco,2901 Pacific Avenue,San Francisco,US,94115,,,,,,,,135055,expedia
406,"Phoenix Hotel, a Joie de Vivre Boutique Hotel",601 Eddy St,San Francisco,US,94109,,,,,,,,140760,expedia
407,NOB HILL LAMBOURNE,725 PINE STREET,San Francisco,US,94108,,,,,,,,140761,expedia
408,Palace Hotel - Luxury Collection,2 New Montgomery St,San Francisco,US,94105,,,,,,,,141179,expedia
409,Americas Best Value Inn Ext Stay San Francisco/Civic Ctr,246 McAllister Street,San Francisco,US,94102,,,,,,,,140764,expedia
410,CATHEDRAL HILL HOTEL,1101 VAN NESS AVENUE,San Francisco,US,94109,,,,,,,,140312,expedia
411,"Hotel Del Sol, a Joie de Vivre Boutique Hotel",3100 Webster St,San Francisco,US,94123,,,,,,,,140946,expedia
412,"Hotel Rex, a Joie de Vivre Boutique Hotel",562 Sutter St,San Francisco,US,94102,,,,,,DiamondRock Hospitality (DRH),,140759,expedia
413,Hotel Bijou,111 Mason St,San Francisco,US,94102,,,,,,,,140765,expedia
414,San Francisco Marriott Union Square,480 Sutter Street,San Francisco,US,94108,,,,,,FelCor Lodging Trust (FCH),,148828,expedia
415,"Hotel Tomo, a Joie de Vivre Hotel",1800 Sutter St,San Francisco,US,94115,,,,,,,,145235,expedia
416,W Hotel San Francisco,181 3rd St,San Francisco,US,94103,,,,,,,,145299,expedia
417,Wyndham Canterbury at San Francisco,750 Sutter Street,San Francisco,US,94109,,,,,,,,164130,expedia
418,Chancellor Hotel on Union Square,433 Powell St,San Francisco,US,94102,,,,,,,,164133,expedia
419,Hotel Metropolis,25 Mason Street,San Francisco,US,94102,,,,,,,,164145,expedia
420,"Hotel Palomar San Francisco, a Kimpton Hotel",12 4th St,San Francisco,US,94103,,,,,,,,164149,expedia
421,Best Western Plus Americania,121 7th St,San Francisco,US,94103,,,,,,,,164126,expedia
422,"Hotel Stratford, a C-Two Hotel",242 Powell St,San Francisco,US,94102,,,,,,,,164155,expedia
423,Carriage Inn,140 7th St,San Francisco,US,94103,,,,,,,,164131,expedia
424,Hilton San Francisco Fisherman's Wharf,2620 Jones St,San Francisco,US,94133,,,,,,,,169941,expedia
425,"Laurel Inn, a Joie de Vivre Boutique Hotel",444 Presidio Ave,San Francisco,US,94115,,,,,,,,170439,expedia
426,Best Western Plus Tuscan Inn at Fisherman's Wharf,425 North Point,San Francisco,US,94133,,,,,,,,163750,expedia
427,Embassy Hotel,610 Polk St,San Francisco,US,94102,,,,,,,,164139,expedia
428,"Serrano Hotel, a Kimpton Hotel",405 Taylor St,San Francisco,US,94102,,,,,,,,164153,expedia
429,SW HOTEL,615 BROADWAY STREET,San Francisco,US,94133,,,,,,,,172596,expedia
430,Hotel des Arts,447 Bush St,San Francisco,US,94108,,,,,,,,170879,expedia
431,Super 8 Union Square San Francisco,415 O Farrell Street,San Francisco,US,94102,,,,,,,,181867,expedia
432,Nob Hill Hotel,835 Hyde St,San Francisco,US,94109,,,,,,,,185308,expedia
433,GREAT HIGHWAY INN,1234 Great Highway,San Francisco,US,94122,,,,,,,,193678,expedia
434,Baldwin Hotel,321 Grant Ave,San Francisco,US,94108,,,,,,,,190477,expedia
435,MARINES MEMORIAL CLUB AND HOTEL,609 SUTTER STREET,San Francisco,US,94102,,,,,,,,190479,expedia
436,Marriott Courtyard San Francisco Downtown,299 2nd St,San Francisco,US,94105,,,,,,Ashford Hospitality Prime (AHP),,195439,expedia
437,Holiday Inn Express and Suites Fisherman's Wharf,550 N Point St,San Francisco,US,94133,,,,,,,,191678,expedia
438,Omni San Francisco Hotel,500 California St,San Francisco,US,94104,,,,,,,,194583,expedia
439,"Adante Hotel, a C-Two Hotel",610 Geary St,San Francisco,US,94102,,,,,,,,196360,expedia
440,Orchard Hotel,665 Bush St,San Francisco,US,94108,,,,,,,,192358,expedia
441,Hotel Zetta San Francisco,55 5th St,San Francisco,US,94103,,,,,,,,195926,expedia
442,The Opal - San Francisco,1050 Van Ness Ave,San Francisco,US,94109,,,,,,,,197460,expedia
443,Four Seasons Hotel San Francisco,757 Market St,San Francisco,US,94103,,,,,,,,195370,expedia
444,Grant Plaza Hotel,465 Grant Ave,San Francisco,US,94108,,,,,,,,198503,expedia
445,"Hotel Fusion, a C-Two Hotel",140 Ellis St,San Francisco,US,94102,,,,,,,,202424,expedia
446,The Donatello Hotel,501 Post St,San Francisco,US,94102,,,,,,,,198893,expedia
447,NOB HILL INN,1000 PINE STREET,San Francisco,US,94109 5032,,,,,,,,198895,expedia
448,Wharf Inn,2601 Mason St,San Francisco,US,94133,,,,,,,,203959,expedia
449,OAKWOOD AT ONE PINE,ONE PINE STREET,San Francisco,US,94111,,,,,,,,207327,expedia
450,Edwardian Hotel,1668 Market St,San Francisco,US,94102,,,,,,,,200708,expedia
451,Castle Inn,1565 Broadway,San Francisco,US,94109,,,,,,,,203190,expedia
452,Country Hearth Inn San Francisco Hotel,2707 Lombard St,San Francisco,US,94123,,,,,,,,205679,expedia
453,EDWARD II INN AND SUITES,3155 Scott Street,San Francisco,US,94123,,,,,,,,203982,expedia
454,SUITES AT FISHERMANS WHARF,2655 HYDE STREET,San Francisco,US,94109,,,,,,,,203323,expedia
455,Super 8 San Francisco Fisherman's Wharf,2440 Lombard St,San Francisco,US,94123,,,,,,,,203806,expedia
456,Civic Center Motor Inn,364 9th St,San Francisco,US,94103,,,,,,,,208881,expedia
457,Travelodge Central San Francisco,1707 Market St,San Francisco,US,94103,,,,,,,,206461,expedia
458,Grant Hotel,753 Bush St,San Francisco,US,94108,,,,,,,,207080,expedia
459,Francisco Bay Inn,1501 Lombard St,San Francisco,US,94123,,,,,,,,205089,expedia
460,Nob Hill Motor Inn,1630 Pacific Ave,San Francisco,US,94109,,,,,,,,205090,expedia
461,"Petite Auberge, a Joie de Vivre Boutique Hotel",863 Bush St,San Francisco,US,94108,,,,,,,,208041,expedia
462,Americas Best Value Inn & Suites-San Francisco/Golden Gate,2322 Lombard St,San Francisco,US,94123,,,,,,,,208255,expedia
463,Club Quarters in San Francisco,424 Clay St,San Francisco,US,94111,,,,,,,,210688,expedia
464,Oasis Inn,900 Franklin St,San Francisco,US,94109,,,,,,,,215276,expedia
465,"White Swan Inn, a Joie de Vivre Boutique Hotel",845 Bush St,San Francisco,US,94108,,,,,,,,208040,expedia
466,Inn on Broadway,2201 Van Ness Avenue,San Francisco,US,94109,,,,,,,,216587,expedia
467,Jackson Court,2198 Jackson St,San Francisco,US,94115,,,,,,,,211396,expedia
468,"Argonaut Hotel, a Kimpton Hotel",495 Jefferson St,San Francisco,US,94109,,,,,,,,211817,expedia
469,AIDA PLAZA,1087 MARKET STREET,San Francisco,US,94103,,,,,,,,221298,expedia
470,Knights Inn San Francisco/On Lombard Street,2505 Lombard St,San Francisco,US,94123,,,,,,,,223962,expedia
471,HALCYON HOTEL,649 JONES STREET,San Francisco,US,94102,,,,,,,,218270,expedia
472,Hotel Vitale-a Joie de Vivre Hotel,8 Mission St,San Francisco,US,94105,,,,,,,,224797,expedia
473,Mithila Hotel,972 Sutter St,San Francisco,US,94109,,,,,,,,218696,expedia
474,Travelodge Golden Gate,2230 Lombard St,San Francisco,US,94123,,,,,,,,224471,expedia
475,Americas Best Value Inn Extended Stay Union Square,505 O Farrell St,San Francisco,US,94102,,,,,,,,220411,expedia
476,UNIVERSITY CLUB,800 POWELL STREET,San Francisco,US,94108,,,,,,,,222829,expedia
477,Beach Motel,4211 Judah Street,San Francisco,US,94122,,,,,,,,227996,expedia
478,Buena Vista Motor Inn,1599 Lombard St,San Francisco,US,94123,,,,,,,,221752,expedia
479,Cornell Hotel de France,715 Bush St,San Francisco,US,94108,,,,,,,,230158,expedia
480,Coventry Motor Inn,1901 Lombard Street,San Francisco,US,94123,,,,,,,,230701,expedia
481,Lombard Motor Inn,1475 Lombard Street,San Francisco,US,94123,,,,,,,,230744,expedia
482,Steinhart Hotel and Apartments,952 Sutter Street,San Francisco,US,94109,,,,,,,,226799,expedia
483,Chelsea Motor Inn,2095 Lombard Street,San Francisco,US,94123,,,,,,,,230700,expedia
484,The Touchstone Hotel,480 Geary St,San Francisco,US,94102,,,,,,,,231233,expedia
485,San Remo Hotel,2237 Mason Street,San Francisco,US,94133,,,,,,,,232084,expedia
486,Bay Bridge Inn,966 Harrison St,San Francisco,US,94107,,,,,,,,234414,expedia
487,SYNERGY ST FRANCIS PLACE,685 FOLSOM STREET,San Francisco,US,94107,,,,,,,,242044,expedia
488,COVA Hotel,655 Ellis St,San Francisco,US,94109,,,,,,,,244729,expedia
489,Orchard Garden Hotel,466 Bush St,San Francisco,US,94108,,,,,,,,248276,expedia
490,"Fairmont Heritage Place, Ghirardelli Square",900 N Point Street,San Francisco,US,94109,,,,,,,,263431,expedia
491,Americas Best Value Inn & Suites SoMa,10 Hallam St,San Francisco,US,94103,,,,,,,,257208,expedia
492,InterContinental San Francisco,888 Howard Street,San Francisco,US,94103,,,,,,,,264782,expedia
493,The Club Donatello,501 Post Street No.1 ,San Francisco,US,94102,,,,,,,,262155,expedia
494,ROYAL PACIFIC MOTOR INN,661 BROADWAY STREET,San Francisco,US,94133,,,,,,,,269358,expedia
495,NATIONAL AT BAYSIDE VILLAGE APA,Three Bayside Village Place,San Francisco,US,94107,,,,,,,,268828,expedia
496,Sweden House Hotel,570 O'farrell St,San Francisco,US,94102,,,,,,,,269910,expedia
497,CLUB DONATELLO,441 Mason Street,San Francisco,US,94102,,,,,,,,313341,expedia
498,Geary Parkway Motel,4750 Geary Blvd,San Francisco,US,94118,,,,,,,,314543,expedia
499,Motel Capri,2015 Greenwich St,San Francisco,US,94123,,,,,,,,313861,expedia
500,SLEEP OVER SAUCE,135 GOUGH STREET,San Francisco,US,94102,,,,,,,,343179,expedia
501,Post Hotel,589 Post St,San Francisco,US,94102,,,,,,,,352312,expedia
502,LOMBARD PLAZA MOTEL,2026 Lombard Street,San Francisco,US,94123,,,,,,,,355636,expedia
503,EXECUSTAY AT NOB HILL CHATEAU,795 Pine Street,San Francisco,US,94108,,,,,,,,358541,expedia
504,Regency Inn,587 Eddy St,San Francisco,US,94109,,,,,,,,390220,expedia
505,Knights Inn San Francisco / Near the Presidio,1 Richardson Ave,San Francisco,US,94123,,,,,,,,426212,expedia
506,Travelodge Palo Alto Silicon Valley,3255 El Camino Real,Palo Alto,US,94306,,,,,,,,111208,expedia
507,Dinah's Garden Hotel,4261 El Camino Real,Palo Alto,US,94306,,,,,,,,126318,expedia
508,Days Inn Palo Alto-Stanford,4238 El Camino Real,Palo Alto,US,94306,,,,,,,,128113,expedia
509,Quality Inn Stanford/Silicon Valley,3901 El Camino Real,Palo Alto,US,94306,,,,,,,,130941,expedia
510,"Crowne Plaza Cabana, Palo Alto",4290 El Camino Real,Palo Alto,US,94306,,,,,,,,135847,expedia
511,Sheraton Palo Alto Hotel,625 El Camino Real,Palo Alto,US,94301,,,,,,,,142997,expedia
512,Comfort Inn Palo Alto Stanford University,3945 El Camino Real,Palo Alto,US,94306,,,,,,,,141600,expedia
513,Creekside Inn,3400 El Camino Real,Palo Alto,US,94306,,,,,,,,143933,expedia
514,Garden Court Hotel,520 Cowper Street,Palo Alto,US,94301,,,,,,,,161581,expedia
515,The Westin Palo Alto,675 El Camino Real,Palo Alto,US,94301,,,,,,,,173182,expedia
516,Cardinal Hotel,235 Hamilton Avenue,Palo Alto,US,94301,,,,,,,,188080,expedia
517,The Zen Hotel,4164 El Camino Real,Palo Alto,US,94306,,,,,,,,205630,expedia
518,Super 8 Palo Alto / Stanford,3200 El Camino Real,Palo Alto,US,94306,,,,,,,,207196,expedia
519,Americas Best Value Inn - Sky Ranch,4234 El Camino Real,Palo Alto,US,94306,,,,,,,,219381,expedia
520,Oak Motel Palo Alto,4279 El Camino Real,Palo Alto,US,94306,,,,,,,,219588,expedia
521,Four Seasons Hotel Silicon Valley at East Palo Alto,2050 University Ave,Palo Alto,US,94303,,,,,,Strategic Hotels and Resorts (BEE),,235902,expedia
522,NATIONAL AT OAK CREEK PALO ALTO,1600 Sand Hill Rd,Palo Alto,US,94304,,,,,,,,270545,expedia
523,Palo Alto Lodge,3339 El Camino Real,Palo Alto,US,94306,,,,,,,,277438,expedia
524,Hotel Keen,425 High Street,Palo Alto,US,94301-1621,,,,,,,,349814,expedia
525,The Epiphany Hotel,180 Hamilton,Palo Alto,US,94301,,,,,,,,429638,expedia
526,Washington Marriott,1221 22nd St Nw,Washington D C,US,20037,,,,,,,,106445,expedia
527,"Helix Hotel, a Kimpton Hotel",1430 Rhode Island Ave Nw,Washington D C,US,20005,,,,,,,,106952,expedia
528,Holiday Inn Washington-Central/White House,1501 Rhode Island Ave Nw,Washington D C,US,20005,,,,,,,,107287,expedia
529,Holiday Inn Washington-Capitol,550 C St SW,Washington D C,US,20024,,,,,,,,107584,expedia
530,Days Inn Washington DC/Connecticut Avenue,4400 Connecticut Ave Nw,Washington D C,US,20008,,,,,,,,107651,expedia
531,Holiday Inn Washington-Georgetown,2101 Wisconsin Ave NW,Washington D C,US,20007,,,,,,,,108559,expedia
532,Omni Shoreham Hotel,2500 Calvert St Nw,Washington D C,US,20008,,,,,,,,109369,expedia
533,"Hotel Rouge, a Kimpton Hotel",1315 16th St Nw,Washington D C,US,20036,,,,,,,,109417,expedia
534,The Liaison Capitol Hill - An Affinia Hotel,415 New Jersey Ave Nw,Washington D C,US,20001,,,,,,,,109631,expedia
535,Windsor Park Hotel,2116 Kalorama Rd NW,Washington D C,US,20008,,,,,,,,109927,expedia
