hotelID,source,name,address,city,country,zipcode,mainstreet,crossstreet,keys,owner
,,Posta Zirm,"Col Alto, 95",Corvara in Badia,IT,39033,Strada Col Alt,Strada Rutort and Col Alt,,Family Kostner
,,Marmolada,Via Col Alt Str. 80,Corvara in Badia,IT,39033,Strada Col Alt,Strada Burje,,Family Costamoling
,,Capella,Strada Pecei 17,Corvara in Badia,IT,39033,Strada Pecei,Strada la Poza and Strada Val,,Family Pizzinini
,,,,,,,,,,
363469,venere,Col Alto,Strada Col Alto 9,Corvara in Badia,IT,39033,,,,
